model,fraction,match_rate,phred_mean
model1,1.0,0.8896941099164847,6.301282588649509
model1,0.8901098901098901,0.8978375502239747,6.933907740311314
model1,0.7802197802197802,0.9019441980193645,7.322825314055463
model1,0.6703296703296703,0.9048308184354842,7.671023965141612
model1,0.5604395604395604,0.9037946833077788,7.800073367571533
model1,0.45054945054945056,0.9049206320853284,7.965732087227415
model1,0.34065934065934067,0.9021104805017787,8.09891435464415
model1,0.23076923076923078,0.9052373396526838,8.295238095238096
model1,0.12087912087912088,0.9182554511657698,8.59906629318394
model1,0.01098901098901099,0.9053254437869822,9.169779286926994
