model,fraction,match_rate,phred_mean
model3,1.0,0.8808471499399024,5.708842027376988
model3,0.8913043478260869,0.8906564772666865,6.770663936823633
model3,0.782608695652174,0.8986299727535092,7.180787589498807
model3,0.6739130434782609,0.9046979099460152,7.360246623605402
model3,0.5652173913043478,0.9134269260394565,7.717800687285223
model3,0.45652173913043476,0.9137002781208584,7.920454545454546
model3,0.34782608695652173,0.9131826578517284,8.066301703163017
model3,0.2391304347826087,0.9089343582043244,8.330361565131254
model3,0.13043478260869565,0.9010261031018559,8.614039355152572
model3,0.021739130434782608,0.8912514957549051,9.055644607281886
